Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
swing_link_x,-7.9456E-18,-0.003468,0.07256,0,0,0,0.39795,0.0010374,7.6425E-21,2.8543E-20,0.0010217,-3.1456E-05,0.00014871,0,0,0,0,0,0,package://leg/meshes/swing_link_x.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg/meshes/swing_link_x.STL,,swing_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_limb_link_x,-3.4081E-17,-0.17,0.03,0,0,0,0.75908,0.0073043,3.2495E-20,-3.9739E-20,0.00027252,4.4999E-20,0.0072881,0,0,0,0,0,0,package://leg/meshes/upper_limb_link_x.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg/meshes/upper_limb_link_x.STL,,upper_limb_link-1,Origin_swing_link_to_upper_limb_link_x,Axis_swing_link_to_upper_limb_link_x,swing_link_to_upper_limb_link_x,revolute,0,-0.1,-0.08075,1.5708,0,0,swing_link_x,0,0,1,1000,0.5,-314,3.14,,,0.1,0.1,,,,
lower_limb_link_x,-1.0068E-16,-0.15594,0.0225,0,0,0,0.70447,0.0072506,2.1119E-20,-3.4994E-20,0.00023845,6.4026E-20,0.0072513,0,0,0,0,0,0,package://leg/meshes/lower_limb_link_x.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://leg/meshes/lower_limb_link_x.STL,,lower_limb_link-1,Origin_upper_limb_link_to_lower_limb_link_x,Axis_upper_limb_link_to_lower_limb_link_x,upper_limb_link_to_lower_limb_link_x,revolute,0,-0.39825,0.0075,0,0,0,upper_limb_link_x,0,0,1,1000,0.5,-3.14,3.14,,,0.1,0.1,,,,
